"season","gamedate","team","opponent","home","win"
2024,2025-04-13,"DEN","HOU",0,1
2024,2025-04-13,"OKC","NOP",0,1
2024,2025-04-11,"OKC","UTA",0,1
2024,2025-04-11,"DEN","MEM",1,1
2024,2025-04-09,"OKC","PHX",0,1
2024,2025-04-09,"DEN","SAC",0,1
2024,2025-04-08,"OKC","LAL",1,1
2024,2025-04-06,"DEN","IND",1,0
2024,2025-04-06,"OKC","LAL",1,0
2024,2025-04-04,"DEN","GSW",0,0
2024,2025-04-04,"OKC","HOU",0,0
2024,2025-04-02,"DEN","SAS",1,0
2024,2025-04-02,"OKC","DET",1,1
2024,2025-04-01,"DEN","MIN",1,0
2024,2025-03-31,"OKC","CHI",1,1
2024,2025-03-29,"OKC","IND",1,1
2024,2025-03-28,"DEN","UTA",1,1
2024,2025-03-27,"OKC","MEM",1,1
2024,2025-03-26,"DEN","MIL",1,1
2024,2025-03-25,"OKC","SAC",0,1
2024,2025-03-24,"DEN","CHI",1,0
2024,2025-03-23,"OKC","LAC",0,1
2024,2025-03-23,"DEN","HOU",0,1
2024,2025-03-21,"DEN","POR",0,0
2024,2025-03-21,"OKC","CHA",1,1
2024,2025-03-19,"DEN","LAL",0,0
2024,2025-03-19,"OKC","PHI",1,1
2024,2025-03-17,"DEN","GSW",0,1
2024,2025-03-16,"OKC","MIL",0,1
2024,2025-03-15,"OKC","DET",0,1
2024,2025-03-15,"DEN","WAS",1,0
2024,2025-03-14,"DEN","LAL",1,1
2024,2025-03-12,"OKC","BOS",0,1
2024,2025-03-12,"DEN","MIN",1,0
2024,2025-03-10,"OKC","DEN",1,0
2024,2025-03-10,"DEN","OKC",0,1
2024,2025-03-09,"DEN","OKC",0,0
2024,2025-03-09,"OKC","DEN",1,1
2024,2025-03-07,"OKC","POR",1,1
2024,2025-03-07,"DEN","PHX",1,1
2024,2025-03-05,"OKC","MEM",0,1
2024,2025-03-05,"DEN","SAC",1,1
2024,2025-03-03,"OKC","HOU",1,1
2024,2025-03-02,"OKC","SAS",0,1
2024,2025-03-02,"DEN","BOS",0,0
2024,2025-02-28,"DEN","DET",0,1
2024,2025-02-28,"OKC","ATL",0,1
2024,2025-02-27,"DEN","MIL",0,0
2024,2025-02-26,"OKC","BKN",0,1
2024,2025-02-24,"OKC","MIN",1,0
2024,2025-02-24,"DEN","IND",0,1
2024,2025-02-23,"OKC","MIN",0,1
2024,2025-02-22,"DEN","LAL",1,0
2024,2025-02-21,"OKC","UTA",0,1
2024,2025-02-20,"DEN","CHA",1,1
2024,2025-02-13,"OKC","MIN",0,0
2024,2025-02-12,"OKC","MIA",1,1
2024,2025-02-12,"DEN","POR",1,1
2024,2025-02-10,"OKC","NOP",1,1
2024,2025-02-10,"DEN","POR",1,1
2024,2025-02-08,"OKC","MEM",0,1
2024,2025-02-08,"DEN","PHX",0,1
2024,2025-02-07,"OKC","TOR",1,1
2024,2025-02-06,"DEN","ORL",1,1
2024,2025-02-05,"DEN","NOP",1,1
2024,2025-02-05,"OKC","PHX",1,1
2024,2025-02-03,"DEN","NOP",1,1
2024,2025-02-03,"OKC","MIL",1,1
2024,2025-02-01,"DEN","CHA",0,1
2024,2025-02-01,"OKC","SAC",1,1
2024,2025-01-31,"DEN","PHI",0,1
2024,2025-01-29,"DEN","NYK",0,0
2024,2025-01-29,"OKC","GSW",0,0
2024,2025-01-27,"DEN","CHI",0,0
2024,2025-01-26,"OKC","POR",0,1
2024,2025-01-25,"DEN","MIN",0,0
2024,2025-01-23,"OKC","DAL",1,0
2024,2025-01-23,"DEN","SAC",1,1
2024,2025-01-22,"OKC","UTA",1,1
2024,2025-01-21,"DEN","PHI",1,1
2024,2025-01-19,"OKC","BKN",1,1
2024,2025-01-19,"DEN","ORL",0,1
2024,2025-01-17,"OKC","DAL",0,0
2024,2025-01-17,"DEN","MIA",0,1
2024,2025-01-16,"OKC","CLE",1,1
2024,2025-01-15,"DEN","HOU",1,0
2024,2025-01-14,"DEN","DAL",0,1
2024,2025-01-14,"OKC","PHI",0,1
2024,2025-01-12,"DEN","DAL",0,1
2024,2025-01-12,"OKC","WAS",0,1
2024,2025-01-10,"OKC","NYK",0,1
2024,2025-01-10,"DEN","BKN",1,1
2024,2025-01-08,"OKC","CLE",0,0
2024,2025-01-08,"DEN","LAC",1,1
2024,2025-01-07,"DEN","BOS",1,0
2024,2025-01-05,"OKC","BOS",1,1
2024,2025-01-04,"DEN","SAS",0,1
2024,2025-01-03,"DEN","SAS",1,0
2024,2025-01-03,"OKC","NYK",1,1
2024,2025-01-02,"OKC","LAC",1,1
2024,2025-01-01,"DEN","ATL",1,1
2024,2024-12-31,"OKC","MIN",1,1
2024,2024-12-30,"DEN","UTA",0,1
2024,2024-12-29,"OKC","MEM",1,1
2024,2024-12-28,"OKC","CHA",0,1
2024,2024-12-28,"DEN","DET",1,1
2024,2024-12-27,"DEN","CLE",1,0
2024,2024-12-26,"OKC","IND",0,1
2024,2024-12-25,"DEN","PHX",0,0
2024,2024-12-23,"DEN","PHX",1,1
2024,2024-12-23,"OKC","WAS",1,1
2024,2024-12-22,"DEN","NOP",0,1
2024,2024-12-20,"OKC","MIA",0,1
2024,2024-12-19,"DEN","POR",0,0
2024,2024-12-19,"OKC","ORL",0,1
2024,2024-12-08,"DEN","ATL",0,1
2024,2024-12-07,"DEN","WAS",0,0
2024,2024-12-07,"OKC","NOP",0,1
2024,2024-12-05,"OKC","TOR",0,1
2024,2024-12-05,"DEN","CLE",0,0
2024,2024-12-03,"OKC","UTA",1,1
2024,2024-12-03,"DEN","GSW",1,1
2024,2024-12-01,"OKC","HOU",0,0
2024,2024-12-01,"DEN","LAC",0,0
2024,2024-11-29,"OKC","LAL",0,1
2024,2024-11-27,"OKC","GSW",0,1
2024,2024-11-27,"DEN","UTA",0,1
2024,2024-11-25,"OKC","SAC",0,1
2024,2024-11-25,"DEN","NYK",1,0
2024,2024-11-23,"DEN","LAL",0,1
2024,2024-11-22,"DEN","DAL",1,0
2024,2024-11-20,"OKC","POR",1,1
2024,2024-11-19,"DEN","MEM",0,1
2024,2024-11-19,"OKC","SAS",0,0
2024,2024-11-17,"OKC","DAL",1,0
2024,2024-11-17,"DEN","MEM",0,0
2024,2024-11-15,"OKC","PHX",1,1
2024,2024-11-15,"DEN","NOP",0,0
2024,2024-11-13,"OKC","NOP",1,1
2024,2024-11-11,"OKC","LAC",1,1
2024,2024-11-10,"DEN","DAL",1,1
2024,2024-11-10,"OKC","GSW",1,0
2024,2024-11-08,"DEN","MIA",1,1
2024,2024-11-08,"OKC","HOU",1,1
2024,2024-11-06,"OKC","DEN",0,0
2024,2024-11-06,"DEN","OKC",1,1
2024,2024-11-04,"DEN","TOR",1,1
2024,2024-11-04,"OKC","ORL",1,1
2024,2024-11-02,"OKC","LAC",0,1
2024,2024-11-02,"DEN","UTA",1,1
2024,2024-11-01,"OKC","POR",0,1
2024,2024-11-01,"DEN","MIN",0,0
2024,2024-10-30,"OKC","SAS",1,1
2024,2024-10-29,"DEN","BKN",0,1
2024,2024-10-28,"DEN","TOR",0,1
2024,2024-10-27,"OKC","ATL",1,1
2024,2024-10-26,"OKC","CHI",0,1
2024,2024-10-26,"DEN","LAC",1,0
2024,2024-10-24,"DEN","OKC",1,0
2024,2024-10-24,"OKC","DEN",0,1
